"filename","spk","male","class","ldur","vdur","dur"
"emilianaAM1","AM",FALSE,"d",63,172,235
"emilianaAM2","AM",FALSE,"d",78,98,176
"emilianaAM3","AM",FALSE,"d",69,133,202
"emilianaAM4","AM",FALSE,"d",72,137,209
"emilianaAM5","AM",FALSE,"d",78,126,204
"emilianabAM1","AM",FALSE,"d",71,119,190
"emilianabAM2","AM",FALSE,"d",64,133,197
"emilianabAM3","AM",FALSE,"d",76,146,222
"emilianabAM4","AM",FALSE,"d",76,142,218
"emilianabAM5","AM",FALSE,"d",66,131,197
"emilianabCP1","CP",FALSE,"d",68,146,214
"emilianabCP2","CP",FALSE,"d",68,117,185
"emilianabCP3","CP",FALSE,"d",68,132,200
"emilianabCP4","CP",FALSE,"d",63,120,183
"emilianabCP5","CP",FALSE,"d",47,122,169
"emilianabMC1","MC",TRUE,"d",52,130,182
"emilianabMC2","MC",TRUE,"d",63,140,203
"emilianabMC3","MC",TRUE,"d",62,116,178
"emilianabMC4","MC",TRUE,"d",53,119,172
"emilianabMC5","MC",TRUE,"d",53,118,171
"emilianabMM1","MM",FALSE,"d",71,137,208
"emilianabMM2","MM",FALSE,"d",68,98,166
"emilianabMM3","MM",FALSE,"d",71,117,188
"emilianabMM4","MM",FALSE,"d",72,89,161
"emilianabMM5","MM",FALSE,"d",61,99,160
"emilianabMS1","MS",TRUE,"d",77,180,257
"emilianabMS2","MS",TRUE,"d",66,152,218
"emilianabMS3","MS",TRUE,"d",60,136,196
"emilianabMS4","MS",TRUE,"d",55,153,208
"emilianabMS5","MS",TRUE,"d",79,143,222
"emilianaCP1","CP",FALSE,"d",77,135,212
"emilianaCP2","CP",FALSE,"d",64,125,189
"emilianaCP3","CP",FALSE,"d",64,127,191
"emilianaCP4","CP",FALSE,"d",57,101,158
"emilianaCP5","CP",FALSE,"d",64,122,186
"emilianaMC1","MC",TRUE,"d",69,119,188
"emilianaMC2","MC",TRUE,"d",55,131,186
"emilianaMC3","MC",TRUE,"d",71,113,184
"emilianaMC4","MC",TRUE,"d",64,108,172
"emilianaMC5","MC",TRUE,"d",71,138,209
"emilianaMM1","MM",FALSE,"d",64,180,244
"emilianaMM2","MM",FALSE,"d",64,104,168
"emilianaMM3","MM",FALSE,"d",62,112,174
"emilianaMM4","MM",FALSE,"d",79,117,196
"emilianaMM5","MM",FALSE,"d",68,109,177
"emilianaMS1","MS",TRUE,"d",68,178,246
"emilianaMS2","MS",TRUE,"d",59,151,210
"emilianaMS3","MS",TRUE,"d",67,156,223
"emilianaMS4","MS",TRUE,"d",61,156,217
"emilianaMS5","MS",TRUE,"d",60,123,183
"emilianoAM1","AM",FALSE,"d",74,163,237
"emilianoAM2","AM",FALSE,"d",56,135,191
"emilianoAM3","AM",FALSE,"d",73,103,176
"emilianoAM4","AM",FALSE,"d",68,136,204
"emilianoAM5","AM",FALSE,"d",75,115,190
"emilianobAM1","AM",FALSE,"d",74,134,208
"emilianobAM2","AM",FALSE,"d",71,134,205
"emilianobAM3","AM",FALSE,"d",78,118,196
"emilianobAM4","AM",FALSE,"d",62,139,201
"emilianobAM5","AM",FALSE,"d",67,139,206
"emilianobCP1","CP",FALSE,"d",62,121,183
"emilianobCP2","CP",FALSE,"d",72,128,200
"emilianobCP3","CP",FALSE,"d",59,119,178
"emilianobCP4","CP",FALSE,"d",67,116,183
"emilianobCP5","CP",FALSE,"d",69,120,189
"emilianobMC1","MC",TRUE,"d",62,117,179
"emilianobMC2","MC",TRUE,"d",63,100,163
"emilianobMC3","MC",TRUE,"d",67,99,166
"emilianobMC4","MC",TRUE,"d",73,100,173
"emilianobMC5","MC",TRUE,"d",61,102,163
"emilianobMM1","MM",FALSE,"d",57,118,175
"emilianobMM2","MM",FALSE,"d",55,85,140
"emilianobMM3","MM",FALSE,"d",53,116,169
"emilianobMM4","MM",FALSE,"d",69,96,165
"emilianobMM5","MM",FALSE,"d",68,99,167
"emilianobMS1","MS",TRUE,"d",63,152,215
"emilianobMS2","MS",TRUE,"d",65,150,215
"emilianobMS3","MS",TRUE,"d",81,138,219
"emilianobMS4","MS",TRUE,"d",73,131,204
"emilianobMS5","MS",TRUE,"d",68,134,202
"emilianoCP1","CP",FALSE,"d",76,130,206
"emilianoCP2","CP",FALSE,"d",62,134,196
"emilianoCP3","CP",FALSE,"d",68,110,178
"emilianoCP4","CP",FALSE,"d",66,111,177
"emilianoCP5","CP",FALSE,"d",65,116,181
"emilianoMC1","MC",TRUE,"d",54,120,174
"emilianoMC2","MC",TRUE,"d",60,117,177
"emilianoMC3","MC",TRUE,"d",58,113,171
"emilianoMC4","MC",TRUE,"d",60,109,169
"emilianoMC5","MC",TRUE,"d",41,108,149
"emilianoMM1","MM",FALSE,"d",46,169,215
"emilianoMM2","MM",FALSE,"d",61,100,161
"emilianoMM3","MM",FALSE,"d",58,104,162
"emilianoMM4","MM",FALSE,"d",57,94,151
"emilianoMM5","MM",FALSE,"d",73,74,147
"emilianoMS1","MS",TRUE,"d",87,173,260
"emilianoMS2","MS",TRUE,"d",69,157,226
"emilianoMS3","MS",TRUE,"d",60,124,184
"emilianoMS4","MS",TRUE,"d",62,145,207
"emilianoMS5","MS",TRUE,"d",74,147,221
"lianaAM1","AM",FALSE,"h",78,213,291
"lianaAM2","AM",FALSE,"h",67,208,275
"lianaAM3","AM",FALSE,"h",77,220,297
"lianaAM4","AM",FALSE,"h",63,208,271
"lianaAM5","AM",FALSE,"h",66,201,267
"lianabAM1","AM",FALSE,"h",75,218,293
"lianabAM2","AM",FALSE,"h",59,211,270
"lianabAM3","AM",FALSE,"h",73,174,247
"lianabAM4","AM",FALSE,"h",70,213,283
"lianabAM5","AM",FALSE,"h",72,180,252
"lianabCP1","CP",FALSE,"h",63,156,219
"lianabCP2","CP",FALSE,"h",70,167,237
"lianabCP3","CP",FALSE,"h",60,166,226
"lianabCP4","CP",FALSE,"h",64,150,214
"lianabCP5","CP",FALSE,"h",69,181,250
"lianabMC1","MC",TRUE,"h",60,128,188
"lianabMC2","MC",TRUE,"h",67,167,234
"lianabMC3","MC",TRUE,"h",64,153,217
"lianabMC4","MC",TRUE,"h",54,164,218
"lianabMC5","MC",TRUE,"h",53,157,210
"lianabMM1","MM",FALSE,"h",61,186,247
"lianabMM2","MM",FALSE,"h",66,180,246
"lianabMM3","MM",FALSE,"h",57,188,245
"lianabMM4","MM",FALSE,"h",65,170,235
"lianabMM5","MM",FALSE,"h",71,117,188
"lianabMS1","MS",TRUE,"h",60,228,288
"lianabMS2","MS",TRUE,"h",68,176,244
"lianabMS3","MS",TRUE,"h",89,178,267
"lianabMS4","MS",TRUE,"h",75,164,239
"lianabMS5","MS",TRUE,"h",73,186,259
"lianacAM1","AM",FALSE,"h",64,190,254
"lianacAM2","AM",FALSE,"h",79,166,245
"lianacAM3","AM",FALSE,"h",74,167,241
"lianacAM4","AM",FALSE,"h",59,176,235
"lianacAM5","AM",FALSE,"h",64,188,252
"lianacCP1","CP",FALSE,"h",62,172,234
"lianacCP2","CP",FALSE,"h",65,170,235
"lianacCP3","CP",FALSE,"h",62,175,237
"lianacCP4","CP",FALSE,"h",69,178,247
"lianacCP5","CP",FALSE,"h",72,181,253
"lianacMC1","MC",TRUE,"h",54,154,208
"lianacMC2","MC",TRUE,"h",70,174,244
"lianacMC3","MC",TRUE,"h",53,173,226
"lianacMC4","MC",TRUE,"h",57,151,208
"lianacMC5","MC",TRUE,"h",47,149,196
"lianacMM2","MM",FALSE,"h",66,210,276
"lianacMM3","MM",FALSE,"h",68,210,278
"lianacMM4","MM",FALSE,"h",63,212,275
"lianacMM5","MM",FALSE,"h",70,212,282
"lianacMS1","MS",TRUE,"h",74,181,255
"lianacMS2","MS",TRUE,"h",60,202,262
"lianacMS3","MS",TRUE,"h",76,191,267
"lianacMS4","MS",TRUE,"h",67,198,265
"lianacMS5","MS",TRUE,"h",77,198,275
"lianaCP1","CP",FALSE,"h",65,210,275
"lianaCP2","CP",FALSE,"h",56,211,267
"lianaCP3","CP",FALSE,"h",76,195,271
"lianaCP4","CP",FALSE,"h",56,181,237
"lianaCP5","CP",FALSE,"h",64,180,244
